2026-04-07 04:44:26 | INFO     | dataset                   | Logger 'dataset' initialised → logs/pipeline_20260407.log
2026-04-07 04:44:26 | INFO     | dataset                   | === STAGE: generate dataset ===
2026-04-07 04:44:26 | INFO     | dataset                   | Generating 5 stores × 10 products × 100 days = 5000 rows
2026-04-07 04:44:26 | INFO     | dataset                   | Dataset shape: (5000, 7)
2026-04-07 04:44:26 | INFO     | dataset                   | Sales stats — min:1 max:340 mean:118.2
2026-04-07 04:44:26 | DEBUG    | dataset                   | Date range: 2022-01-01 00:00:00 → 2022-04-10 00:00:00
2026-04-07 04:44:26 | INFO     | dataset                   | Saved 5000 rows → data/raw/sales.csv
2026-04-07 04:44:26 | INFO     | dataset                   | Dataset generation complete ✓
2026-04-07 04:45:49 | INFO     | ingest                    | Logger 'ingest' initialised → logs/pipeline_20260407.log
2026-04-07 04:45:49 | INFO     | ingest                    | === STAGE: ingest ===
2026-04-07 04:45:49 | INFO     | ingest                    | Loading data from data/raw/sales.csv
2026-04-07 04:45:49 | INFO     | ingest                    | Loaded shape: (5000, 7)
2026-04-07 04:45:49 | DEBUG    | ingest                    | Columns: ['date', 'store_id', 'product_id', 'sales', 'price', 'promotion', 'is_holiday']
2026-04-07 04:45:49 | INFO     | ingest                    | Running validation checks...
2026-04-07 04:45:49 | INFO     | ingest                    | ✓ No null values
2026-04-07 04:45:49 | INFO     | ingest                    | ✓ No duplicate rows
2026-04-07 04:45:49 | INFO     | ingest                    | ✓ No negative sales
2026-04-07 04:45:49 | INFO     | ingest                    | ✓ Data types enforced
2026-04-07 04:45:49 | INFO     | ingest                    | Final shape after validation: (5000, 7)
2026-04-07 04:45:49 | INFO     | ingest                    | Date range: 2022-01-01 → 2022-04-10
2026-04-07 04:45:49 | INFO     | ingest                    | Stores: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]
2026-04-07 04:45:49 | INFO     | ingest                    | Products: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10)]
2026-04-07 04:45:49 | INFO     | ingest                    | Sales — mean:118.2 std:54.2 max:340.0
